date,time,temperature_2m,temp_f
2026-06-26,2026-06-26T02:15,4.7,40.5
2026-06-26,2026-06-26T02:15,4.7,40.5
2026-06-26,2026-06-26T02:30,4.4,39.9
2026-06-26,2026-06-26T02:30,4.4,39.9
2026-06-26,2026-06-26T02:45,4.4,39.9
2026-06-26,2026-06-26T15:45,19.6,67.3
2026-06-26,2026-06-26T15:45,19.6,67.3
2026-06-26,2026-06-26T16:00,19.3,66.7
2026-06-26,2026-06-26T16:15,19.4,66.9
2026-06-27,2026-06-27T01:00,8.4,47.1
2026-06-27,2026-06-27T08:45,8.2,46.8
2026-06-27,2026-06-27T13:30,9.9,49.8
2026-06-28,2026-06-28T01:30,2.5,36.5
2026-06-28,2026-06-28T09:00,0.9,33.6
2026-06-29,2026-06-29T06:45,0.7,33.3
2026-06-29,2026-06-29T14:45,5.2,41.4
2026-06-30,2026-06-30T03:30,3.9,39.0
2026-07-01,2026-07-01T03:45,1.0,33.8
2026-07-01,2026-07-01T11:30,16.0,60.8
2026-07-02,2026-07-02T01:30,3.5,38.3
2026-07-02,2026-07-02T11:15,17.5,63.5
2026-07-03,2026-07-03T02:45,3.2,37.8
2026-07-03,2026-07-03T10:00,16.9,62.4
2026-07-04,2026-07-04T01:00,7.2,45.0
2026-07-04,2026-07-04T08:45,15.9,60.6
2026-07-04,2026-07-04T13:30,21.6,70.9
2026-07-05,2026-07-05T01:30,7.6,45.7
2026-07-05,2026-07-05T08:45,19.5,67.1
2026-07-05,2026-07-05T13:30,24.5,76.1
2026-07-06,2026-07-06T05:15,6.0,42.8
2026-07-06,2026-07-06T15:00,22.3,72.1
2026-07-07,2026-07-07T14:45,22.0,71.6
2026-07-08,2026-07-08T00:15,9.9,49.8
2026-07-08,2026-07-08T10:00,20.2,68.4
2026-07-09,2026-07-09T11:15,21.3,70.3
2026-07-10,2026-07-10T03:30,6.7,44.1
2026-07-10,2026-07-10T11:00,22.4,72.3
2026-07-11,2026-07-11T08:30,19.7,67.5
2026-07-11,2026-07-11T13:00,26.4,79.5
2026-07-12,2026-07-12T08:30,22.4,72.3
2026-07-12,2026-07-12T13:00,29.4,84.9
2026-07-13,2026-07-13T01:30,14.4,57.9
2026-07-13,2026-07-13T11:15,27.8,82.0
2026-07-14,2026-07-14T05:00,10.0,50.0
2026-07-14,2026-07-14T09:30,25.0,77.0
2026-07-14,2026-07-14T13:30,28.7,83.7
2026-07-15,2026-07-14T23:15,14.8,58.6
2026-07-15,2026-07-15T05:00,10.5,50.9
2026-07-15,2026-07-15T13:30,22.3,72.1
2026-07-16,2026-07-15T23:30,13.2,55.8
2026-07-17,2026-07-16T23:15,13.2,55.8
2026-07-17,2026-07-17T04:45,10.7,51.3
2026-07-17,2026-07-17T09:30,20.2,68.4
2026-07-17,2026-07-17T13:15,25.1,77.2
2026-07-18,2026-07-17T22:45,11.7,53.1
